32,0.20,0.06,0.98
607276944,0.19,0.04,0.97
607281864,0.18,0.06,0.95
607286808,0.18,0.05,0.97
607291736,0.20,0.05,0.96
607296664,0.18,0.05,0.97
607301592,0.17,0.05,0.96
607306544,0.15,0.06,0.95
607311480,0.16,0.05,0.95
607316408,0.16,0.06,0.97
607321344,0.16,0.06,0.95
607326264,0.16,0.08,0.96
607331216,0.16,0.08,0.96
607336176,0.16,0.07,0.94
607341120,0.16,0.07,0.97
607346048,0.16,0.07,0.96
607351008,0.17,0.06,0.95
607355952,0.16,0.06,0.96
607360880,0.17,0.05,0.98
607365808,0.15,0.06,0.99
607370760,0.15,0.05,1.00
607375680,0.13,0.07,1.02
607380608,0.15,0.04,1.01
607385560,0.13,0.06,1.00
607390496,0.14,0.06,0.98
607395448,0.13,0.06,0.98
607400376,0.11,0.060.98
651935240,0.34,0.10,0.88
651940176,0.36,0.09,0.89
651945112,0.33,0.08,0.87
651950064,0.35,0.08,0.88
651955040,0.34,0.08,0.89
651959992,0.33,0.07,0.88
651964960,0.35,0.11,0.88
651969920,0.36,0.10,0.88
651974864,0.33,0.11,0.87
651979816,0.35,0.08,0.87
651984760,0.34,0.13,0.89
651989728,0.36,0.11,0.89
651994704,0.41,0.10,0.91
651999656,0.30,0.10,1.01
652004592,0.41,0.19,0.95
652009552,0.52,0.15,0.90
652014504,0.35,0.17,0.84
652019456,0.34,0.16,0.87
652024432,0.40,0.15,0.93
652029392,0.40,0.16,0.96
652034384,0.39,0.12,0.97
652039344,0.39,0.12,0.98
652044272,0.42,0.12,0.97
652049232,0.45,0.13,0.97
652054192,0.44,0.12,0.96
652059168,0.47,0.11,0.93
652064112,0.47,0.11,0.93
652069080,0.45,0.13,0.94
652074040,0.46,0.12,0.92
652079000,0.44,0.12,0.94
652083968,0.41,0.12,0.91
652088912,0.41,0.17,0.92
652093848,0.44,0.13,0.90
652098776,0.44,0.16,0.91
652103728,0.40,0.20,0.89
652108664,0.36,0.14,0.89
652113624,0.35,0.18,0.88
652118576,0.36,0.18,0.88
652123520,0.35,0.17,0.87
652128472,0.33,0.17,0.86
652133416,0.34,0.16,0.87
652138384,0.31,0.19,0.87
652143336,0.33,0.15,0.87
652148296,0.30,0.15,0.87
652153232,0.31,0.16,0.87
652158192,0.31,0.14,0.89
652163152,0.30,0.12,0.90
652168088,0.30,0.13,0.90
652173024,0.30,0.13,0.90
652177976,0.31,0.08,0.93
652182912,0.30,0.09,0.94
652187840,0.34,0.12,0.96
652192776,0.37,0.11,0.96
652197720,0.37,0.09,0.97
652202664,0.36,0.09,0.99
652207608,0.33,0.10,1.00
652212552,0.35,0.10,1.00
652217496,0.37,0.13,0.98
652222440,0.38,0.12,0.97
652227408,0.36,0.12,0.98
652232376,0.32,0.10,0.95
652237344,0.31,0.11,0.94
652242312,0.31,0.14,0.93
652247280,0.28,0.13,0.94
652252240,0.30,0.12,0.92
652257176,0.27,0.13,0.93
652262128,0.29,0.13,0.92
652267088,0.28,0.14,0.93
652272064,0.27,0.14,0.94
652277024,0.30,0.12,0.93
652281960,0.30,0.13,0.93
652286904,0.29,0.12,0.93
652291856,0.29,0.11,0.91
652296808,0.28,0.12,0.94
652301752,0.31,0.12,0.94
652306736,0.31,0.10,0.94
652311680,0.32,0.10,0.94
652316624,0.28,0.10,0.94
652321552,0.29,0.11,0.94
652326488,0.30,0.10,0.95
652331416,0.31,0.11,0.95
652336384,0.32,0.08,0.95
652341320,0.34,0.09,0.94
652346248,0.36,0.08,0.95
652351176,0.34,0.07,0.95
652356128,0.34,0.08,0.96
652361072,0.30,0.08,0.96
652366008,0.30,0.09,0.96
652370936,0.30,0.10,0.97
652375872,0.28,0.09,0.94
652380808,0.29,0.12,0.95
652385752,0.27,0.11,0.96
652390720,0.31,0.08,0.95
652395680,0.27,0.10,0.94
652400624,0.25,0.11,0.94
652405584,0.27,0.11,0.94
652410536,0.28,0.12,0.93
652415488,0.29,0.11,0.94
652420432,0.28,0.12,0.93
652425400,0.30,0.13,0.92
652430368,0.29,0.13,0.92
652435328,0.30,0.11,0.94
652440296,0.32,0.13,0.92
652445248,0.31,0.11,0.92
652450200,0.30,0.11,0.92
652455136,0.31,0.10,0.93
652460080,0.31,0.10,0.92
652465040,0.31,0.10,0.94
652470008,0.30,0.10,0.94
652474952,0.31,0.11,0.94
652479904,0.30,0.09,0.92
652484848,0.30,0.10,0.94
652489784,0.30,0.12,0.94
652494736,0.29,0.12,0.93
652499704,0.29,0.10,0.93
652504648,0.27,0.11,0.95
652509592,0.29,0.11,0.93
652514536,0.28,0.10,0.92
652519472,0.28,0.10,0.92
652524408,0.28,0.11,0.94
652529376,0.27,0.09,0.94
652534344,0.27,0.10,0.94
652539296,0.28,0.09,0.96
652544256,0.28,0.07,0.95
652549176,0.25,0.08,0.95
652554112,0.28,0.08,0.95
652559056,0.26,0.08,0.96
652563984,0.28,0.08,0.96
652568928,0.28,0.08,0.95
652573864,0.27,0.08,0.95
652578784,0.27,0.08,0.96
652583704,0.27,0.07,0.95
652588656,0.30,0.12,0.93
652593600,0.29,0.08,0.96
652598544,0.30,0.08,0.96
652603472,0.30,0.08,0.94
652608416,0.29,0.09,0.95
652613352,0.29,0.09,0.93
652618312,0.29,0.08,0.94
652623248,0.30,0.09,0.94
652628208,0.30,0.08,0.94
652633128,0.31,0.09,0.94
652638072,0.29,0.08,0.94
652643024,0.29,0.07,0.95
652647952,0.30,0.08,0.94
652652888,0.30,0.08,0.94
652657816,0.31,0.08,0.95
652662752,0.30,0.08,0.94
652667688,0.29,0.08,0.95
652672632,0.30,0.08,0.95
652677552,0.30,0.08,0.95
652682496,0.30,0.07,0.95
652687416,0.29,0.07,0.95
652692360,0.28,0.06,0.95
652697304,0.28,0.08,0.96
652702256,0.30,0.09,0.95
652707184,0.29,0.07,0.97
652712152,0.30,0.10,0.94
652717096,0.30,0.10,0.95
652722040,0.28,0.07,0.94
652726968,0.28,0.08,0.94
652731920,0.28,0.08,0.94
652736864,0.29,0.09,0.93
652741784,0.27,0.09,0.92
652746712,0.28,0.08,0.90
652751656,0.29,0.09,0.92
652756600,0.28,0.08,0.92
652761528,0.29,0.10,0.92
652766464,0.28,0.08,0.94
652771408,0.29,0.09,0.94
652776360,0.28,0.08,0.95
652781304,0.28,0.08,0.94
652786256,0.29,0.08,0.95
652791176,0.26,0.08,0.96
652796128,0.28,0.08,0.97
652801080,0.27,0.08,0.96
652806024,0.27,0.06,0.96
652810952,0.28,0.08,0.96
652815880,0.29,0.08,0.95
652820808,0.27,0.08,0.97
652825736,0.28,0.08,0.95
652830672,0.28,0.09,0.95
652835624,0.28,0.08,0.96
652840552,0.28,0.08,0.95
652845480,0.28,0.08,0.95
652850408,0.28,0.07,0.95
652855352,0.28,0.09,0.95
652860296,0.27,0.07,0.95
652865224,0.29,0.08,0.94
652870168,0.27,0.07,0.95
652875104,0.26,0.09,0.94
652880040,0.28,0.08,0.96
652884976,0.27,0.08,0.95
652889912,0.27,0.10,0.96
652894848,0.26,0.09,0.95
652899768,0.25,0.09,0.93
652904712,0.25,0.09,0.94
652909656,0.25,0.09,0.94
