,0.08,0.02,0.97
210646112,0.19,0.08,0.95
210651064,0.18,0.08,0.96
210655992,0.20,0.09,0.98
210660904,0.20,0.08,0.97
210665824,0.18,0.08,0.97
210670752,0.19,0.08,0.98
210675664,0.19,0.09,0.98
210680584,0.18,0.08,0.98
210685504,0.17,0.09,0.98
210690416,0.17,0.09,0.98
210695344,0.16,0.08,0.99
210700240,0.18,0.08,0.98
210705168,0.17,0.09,0.98
210710088,0.18,0.07,0.97
210715008,0.18,0.08,0.98
210719936,0.18,0.08,0.98
210724840,0.18,0.06,0.99
210729768,0.16,0.08,0.98
210734688,0.16,0.07,0.98
210739616,0.18,0.09,0.98
210744544,0.20,0.08,0.98
210749432,0.16,0.08,0.99
210754392,0.18,0.08,0.99
210759320,0.16,0.08,1.00
210764240,0.14,0.08,1.00
210769152,0.13,0.07,1.02
210774096,0.12,0.07,0.99
210779008,0.13,0.06,1.00
210783936,0.10,0.08,1.00
210788864,0.10,0.09,1.00
210793784,0.10,0.06,1.03
210798720,0.05,0.08,1.04
210803624,0.04,0.08,1.03
210808536,0.05,0.08,1.04
210813472,0.03,0.07,1.05
210818392,0.05,0.08,1.04
210823304,0.03,0.09,1.04
210828232,0.04,0.09,1.05
210833144,0.06,0.07,1.04
210838096,0.08,0.08,1.05
210843040,0.06,0.11,1.05
210848000,0.08,0.06,1.04
210852920,0.09,0.08,1.05
210857832,0.10,0.07,1.05
210862776,0.08,0.07,1.04
210867704,0.09,0.07,1.05
210872624,0.06,0.08,1.02
210877560,0.06,0.08,1.02
210882488,0.04,0.09,1.02
210887400,0.03,0.08,1.05
210892312,0.03,0.09,1.03
210897224,0.03,0.10,1.03
210902136,0.00,0.11,1.04
210907080,0.00,0.10,1.04
210911920,-0.01,0.10,1.05
210916880,-0.02,0.14,1.03
210921872,-0.02,0.11,1.03
210926880,-0.02,0.12,1.02
210931872,0.00,0.12,1.02
210936744,-0.00,0.12,1.03
210941712,0.00,0.13,1.03
210946648,0.02,0.12,1.01
210951600,0.02,0.12,1.02
210956560,0.03,0.13,1.03
210961520,0.03,0.14,1.00
210966456,0.04,0.15,1.00
210971376,0.04,0.15,1.01
210976320,0.06,0.14,0.98
210981232,0.05,0.12,1.01
210986152,0.05,0.12,1.01
210991088,0.06,0.14,1.00
210996008,0.07,0.10,0.99
211000920,0.09,0.12,1.00
211005832,0.10,0.13,0.99
211010776,0.12,0.11,0.98
211015728,0.13,0.12,0.98
211020656,0.13,0.12,0.97
211025608,0.14,0.12,0.96
211030568,0.15,0.12,0.97
211035512,0.14,0.10,0.96
211040472,0.15,0.09,0.96
211045392,0.14,0.08,0.95
211050320,0.15,0.08,0.95
211055248,0.15,0.08,0.95
211060184,0.13,0.14,0.93
211065136,0.17,0.17,0.94
211070104,0.14,0.16,0.95
211075048,0.14,0.17,0.95
211079992,0.14,0.18,0.94
211084928,0.13,0.18,0.92
211089872,0.13,0.17,0.93
211094840,0.10,0.16,0.91
211099784,0.15,0.18,0.93
211104744,0.13,0.16,0.92
211109688,0.14,0.16,0.92
211114624,0.11,0.17,0.92
211119584,0.12,0.16,0.92
211124544,0.16,0.06,0.89
211129496,0.13,0.16,0.93
211134456,0.13,0.14,0.94
211139416,0.15,0.14,0.92
211144384,0.16,0.17,0.93
211149344,0.12,0.15,0.93
211154280,0.13,0.13,0.92
211159224,0.13,0.14,0.93
211164168,0.11,0.14,0.92
211169128,0.14,0.16,0.92
211174096,0.14,0.16,0.92
211179032,0.14,0.16,0.92
211183976,0.15,0.17,0.91
211188928,0.15,0.18,0.91
211193880,0.15,0.20,0.90
211198816,0.15,0.22,0.89
211203776,0.13,0.17,0.91
211208760,0.16,0.21,0.89
211213696,0.16,0.20,0.90
211218632,0.17,0.19,0.92
211223568,0.19,0.19,0.92
211228512,0.18,0.17,0.92
211233456,0.20,0.19,0.93
211238392,0.17,0.20,0.94
211243328,0.18,0.18,0.94
211248256,0.17,0.19,0.93
211253184,0.15,0.16,0.92
211258144,0.16,0.15,0.93
211263104,0.11,0.20,0.92
211268064,-0.16,0.08,1.20
211273016,-0.15,0.08,1.19
211277992,-0.13,0.07,1.19
211282976,-0.13,0.07,1.18
211287968,-0.11,0.06,1.18
211292960,0.06,-1.30,0.88
211297904,0.06,-1.28,0.87
211302896,-0.03,0.18,0.66
211307864,0.12,0.18,0.93
211297904,211307864,1.55,0.06,-1.28,0.87
211319448,0.10,0.25,0.94
211324376,0.14,0.23,0.94
211329344,0.15,0.20,0.95
211334264,0.15,0.20,0.95
211339192,0.16,0.20,0.94
211344136,0.17,0.20,0.97
211349080,0.17,0.18,0.95
211354016,0.18,0.17,0.94
211358960,0.18,0.18,0.96
211363904,0.17,0.18,0.97
211368848,0.16,0.17,0.97
211373808,0.16,0.17,0.95
211378784,0.14,0.18,0.96
211383744,0.13,0.18,0.96
211388688,0.12,0.18,0.96
211393632,0.12,0.18,0.96
211398576,0.13,0.18,0.96
211403520,0.11,0.20,0.97
211408472,0.16,0.14,0.96
211413408,0.14,0.22,0.96
211418368,0.07,0.22,0.95
211423304,0.13,0.19,0.95
211428240,0.17,0.19,0.95
211433184,0.15,0.21,0.96
211438168,0.12,0.24,0.96
211443120,0.16,0.20,0.95
211448088,0.17,0.21,0.95
211453040,0.16,0.20,0.95
211457976,0.15,0.23,0.95
211462912,0.13,0.19,0.95
211467856,0.13,0.21,0.96
211472824,0.13,0.20,0.95
211477768,0.13,0.21,0.96
211482728,0.16,0.19,0.94
211487672,0.18,0.20,0.95
211492600,0.10,0.23,0.98
211497544,0.15,0.20,0.95
211502488,0.17,0.19,0.95
211507456,0.15,0.21,0.96
211512392,0.15,0.19,0.96
211517336,0.14,0.20,0.96
211522272,0.15,0.21,0.95
211527208,0.14,0.21,0.96
