,0.08,0.02,0.97
222205520,0.13,0.03,0.95
222210464,0.11,0.05,0.94
222215392,0.12,0.04,0.97
222220328,0.13,0.05,0.97
222225264,0.11,0.05,0.97
222230200,0.11,0.06,0.97
222235160,0.11,0.05,0.96
222240088,0.11,0.05,0.98
222245008,0.10,0.05,0.95
222249912,0.11,0.05,0.97
222254856,0.11,0.05,0.97
222259816,0.12,0.07,0.97
222264760,0.13,0.06,0.97
222269704,0.15,0.06,0.97
222274640,0.14,0.07,0.95
222279560,0.15,0.06,0.97
222284504,0.15,0.08,0.96
222289456,0.14,0.06,0.95
222294376,0.14,0.06,0.94
222299304,0.13,0.08,0.94
222304224,0.12,0.08,0.95
222309144,0.12,0.08,0.95
222314088,0.11,0.06,0.96
222319016,0.10,0.08,0.95
222323936,0.11,0.06,0.97
222328864,0.10,0.08,0.96
222333784,0.13,0.08,0.96
222338720,0.12,0.08,0.94
222343632,0.11,0.09,0.96
222348568,0.11,0.08,0.96
222353520,0.11,0.08,0.95
222358456,0.11,0.08,0.95
222363384,0.11,0.08,0.97
222368336,0.10,0.07,0.97
222373248,0.10,0.08,0.95
222378200,0.09,0.08,0.95
222383112,0.08,0.06,0.95
222388024,0.10,0.09,0.95
222392944,0.09,0.08,0.95
222397848,0.10,0.09,0.95
222402800,0.10,0.08,0.95
222407704,0.10,0.08,0.94
222412624,0.10,0.08,0.93
222417528,0.09,0.08,0.95
222422448,0.10,0.09,0.96
222427384,0.10,0.09,0.96
222432296,0.12,0.09,0.96
222437224,0.11,0.08,0.99
222442160,0.10,0.08,0.98
222447080,0.11,0.09,0.98
222452000,0.11,0.07,0.97
222456936,0.11,0.06,0.98
222461864,0.11,0.08,0.97
222466816,0.09,0.07,0.97
222471736,0.11,0.08,0.98
222476656,0.13,0.09,0.96
222481592,0.14,0.08,0.96
222486520,0.12,0.07,0.97
222491480,0.13,0.07,0.98
222496424,0.12,0.07,0.97
222501352,0.14,0.08,0.98
222506272,0.13,0.06,0.97
222511208,0.13,0.07,0.98
222516136,0.13,0.06,0.98
222521080,0.13,0.06,0.98
222526024,0.14,0.06,0.97
222530952,0.13,0.06,0.98
222535896,0.15,0.06,0.97
222540840,0.14,0.07,0.98
222545784,0.15,0.06,0.98
222550712,0.14,0.08,0.97
222555640,0.15,0.06,0.97
222560576,0.15,0.08,0.96
222565520,0.13,0.09,0.97
222570456,0.13,0.09,0.95
222575376,0.13,0.09,0.95
222580312,0.14,0.10,0.97
222585248,0.15,0.08,0.96
222590192,0.13,0.12,0.97
222595152,0.13,0.10,0.97
222600080,0.14,0.10,0.97
222605016,0.15,0.10,0.97
222609968,0.14,0.11,0.96
222614920,0.14,0.10,0.97
222619872,0.14,0.10,0.96
222624808,0.15,0.10,0.96
222629760,0.15,0.10,0.95
222634704,0.16,0.11,0.96
222639640,0.16,0.10,0.95
222644576,0.16,0.09,0.95
222649512,0.16,0.10,0.95
222654448,0.15,0.11,0.94
222659400,0.16,0.11,0.95
222664344,0.15,0.10,0.94
222669272,0.15,0.08,0.95
222674208,0.16,0.10,0.96
222679152,0.15,0.09,0.94
222684072,0.15,0.09,0.95
222689000,0.16,0.08,0.96
222693944,0.15,0.09,0.95
222698872,0.14,0.09,0.96
222703832,0.16,0.09,0.95
222708776,0.15,0.08,0.95
222713704,0.14,0.08,0.95
222718632,0.14,0.07,0.97
222723568,0.13,0.08,0.97
222728504,0.14,0.06,0.98
222733448,0.13,0.07,0.97
222738376,0.15,0.08,0.96
222743304,0.17,0.07,0.96
222748240,0.16,0.07,0.97
222753184,0.13,0.06,0.95
222758104,0.15,0.08,0.97
222763040,0.15,0.09,0.96
222767976,0.15,0.06,0.96
222772912,0.14,0.07,0.98
222777864,0.14,0.07,0.98
222782808,0.14,0.06,0.98
222787752,0.12,0.06,0.98
222792680,0.15,0.07,0.98
222797608,0.15,0.06,0.98
222802536,0.13,0.07,0.97
222807488,0.13,0.05,0.96
222812440,0.12,0.06,0.97
222817368,0.13,0.07,0.96
222822304,0.12,0.06,0.98
222827224,0.11,0.06,0.97
222832160,0.10,0.06,0.98
222837072,0.10,0.06,0.98
222841992,0.10,0.06,0.97
222846904,0.10,0.07,0.97
222851840,0.10,0.08,0.95
222856760,0.10,0.07,0.95
222861672,0.11,0.07,0.96
222866600,0.11,0.07,0.96
222871512,0.12,0.08,0.94
222876448,0.10,0.06,0.96
222881368,0.12,0.06,0.95
222886288,0.10,0.06,0.95
222891208,0.11,0.06,0.94
222896128,0.12,0.07,0.95
222901080,0.10,0.07,0.95
222905992,0.13,0.07,0.95
222910920,0.11,0.05,0.96
222915848,0.10,0.05,0.95
222920776,0.10,0.05,0.95
222925696,0.08,0.05,0.95
222930608,0.09,0.05,0.95
222935536,0.10,0.05,0.95
222940472,0.09,0.05,0.95
222945400,0.09,0.06,0.97
222950304,0.08,0.05,0.96
222955224,0.09,0.06,0.95
222960160,0.08,0.05,0.96
222965080,0.08,0.05,0.95
222969984,0.07,0.06,0.96
222974904,0.09,0.07,0.96
222979816,0.10,0.06,0.95
222984760,0.10,0.05,0.95
222989672,0.11,0.05,0.95
222994608,0.12,0.05,0.94
222999544,0.13,0.06,0.95
223004488,0.12,0.07,0.97
223009432,0.13,0.07,0.95
223014360,0.11,0.09,0.95
223019296,0.11,0.08,0.96
223024232,0.11,0.08,0.96
223029176,0.11,0.07,0.95
223034104,0.11,0.07,0.95
223039032,0.10,0.08,0.95
223043944,0.11,0.08,0.96
223048872,0.11,0.08,0.95
223053800,0.11,0.07,0.95
223058736,0.11,0.08,0.97
223063672,0.12,0.08,0.96
223068600,0.11,0.09,0.97
223073528,0.10,0.07,0.95
223078456,0.10,0.08,0.99
223083368,0.11,0.09,0.98
223088288,0.11,0.08,1.00
223093224,0.11,0.05,0.98
223098160,0.10,0.05,0.99
223103080,0.10,0.02,1.00
223107984,0.10,0.02,0.99
223112904,0.11,0.02,1.00
223117840,0.11,0.01,1.00
223122768,0.10,0.03,1.00
223127680,0.10,0.03,1.00
223132592,0.12,0.02,1.00
223137520,0.13,0.01,1.02
223142472,0.13,0.02,1.01
223147424,0.15,0.02,1.00
223152352,0.14,0.01,1.02
223157288,0.16,0.01,1.02
223162240,0.15,0.01,1.03
223167192,0.16,0.01,1.03
223172160,0.18,-0.00,1.03
223177120,0.16,-0.01,1.02
223182104,0.17,-0.01,1.04
223187080,0.19,-0.02,1.04
223192048,0.19,-0.03,1.03
223197040,0.19,-0.02,1.03
223202032,0.19,-0.03,1.03
223206984,0.19,-0.03,1.02
223211960,0.18,-0.04,1.02
223216920,0.19,-0.03,1.02
223221880,0.18,-0.03,1.01
223226880,0.16,-0.04,1.00
223231840,0.19,-0.04,1.01
223236816,0.19,-0.03,1.00
223241800,0.18,-0.04,0.99
223246784,0.18,-0.05,1.00
223251760,0.18,-0.01,1.00
223256736,0.18,-0.02,0.98
223261688,0.18,-0.02,0.98
223266656,0.17,-0.00,0.97
223271608,0.15,-0.01,0.96
223276584,0.17,-0.00,0.95
223281544,0.14,-0.03,0.97
223286536,0.14,-0.01,0.96
223291520,0.12,-0.00,0.96
223296504,0.12,0.00,0.93
223301432,0.16,0.01,0.91
223306376,0.18,0.02,0.92
223311304,0.15,0.01,0.92
223316248,0.16,0.02,0.91
223321192,0.25,-0.04,0.89
223326168,0.11,0.05,0.93
223331096,0.09,0.04,0.90
223336000,0.12,0.02,0.90
223340904,0.12,0.04,0.90
223345816,0.13,0.03,0.89
223350744,0.14,0.03,0.89
223355672,0.11,0.04,0.89
223360600,0.11,0.03,0.89
223365528,0.12,0.03,0.89
223370472,0.13,0.03,0.88
223375416,0.11,0.03,0.86
223380352,0.09,0.05,0.86
223385256,0.10,0.04,0.85
223390192,0.08,0.07,0.86
223395096,0.12,0.03,0.86
223400048,0.13,0.03,0.87
223404984,0.11,0.03,0.87
223409912,0.11,0.05,0.87
223414864,0.09,0.04,0.86
223419784,0.10,0.04,0.87
223424736,0.08,0.04,0.86
223429640,0.05,0.04,0.89
223434552,0.06,0.03,0.90
223439472,0.05,0.04,0.90
223444400,0.06,0.05,0.90
223449312,0.09,0.12,0.96
223454232,0.07,-0.01,0.90
223459192,0.18,0.09,0.92
223464136,0.05,0.04,0.90
223469032,0.11,0.05,0.94
223473968,0.11,0.04,0.97
223478904,0.13,0.03,0.97
223483832,0.15,0.05,0.98
223488776,0.20,0.02,0.96
223493712,0.22,0.03,0.95
223498632,0.23,0.04,0.96
223503560,0.21,0.04,0.97
223508504,0.25,0.02,1.02
223513464,0.25,-0.01,1.09
223518456,-0.04,-0.39,1.59
223523488,0.03,-0.34,1.59
223528504,0.59,-0.25,1.78
223533520,0.38,-0.24,1.56
223538512,-0.08,-0.31,1.45
223543568,-0.10,-0.14,1.35
223548608,0.10,-0.03,1.36
223553584,0.20,0.00,1.35
223558512,0.23,-0.01,1.30
223563520,0.17,-0.02,1.22
223568528,0.12,-0.02,1.15
223573520,0.08,-0.03,1.08
223578488,0.06,0.01,1.00
223528504,223578488,1.89,0.59,-0.25,1.78,tap-1
223640240,0.32,-0.07,0.97
223645216,0.31,-0.08,0.97
223650200,0.31,-0.06,0.95
223655176,0.31,-0.06,0.94
223660168,0.32,-0.05,0.93
223665144,0.30,-0.04,0.90
223670088,0.28,-0.03,0.88
223675064,0.25,-0.02,0.87
223680040,0.22,-0.05,0.86
223685000,0.23,-0.01,0.86
223689976,0.23,0.00,0.86
223694904,0.21,-0.00,0.83
223699864,0.21,0.01,0.86
223704808,0.18,0.02,0.84
223709760,0.16,0.03,0.85
223714712,0.15,0.05,0.87
223719664,0.15,0.05,0.87
223724616,0.14,0.05,0.86
223729544,0.15,0.05,0.85
223734496,0.13,0.05,0.85
223739456,0.10,0.04,0.85
223744384,0.10,0.05,0.83
223749296,0.08,0.05,0.81
223754200,0.08,0.05,0.82
223759120,0.10,0.02,0.82
223764048,0.07,0.06,0.83
223768968,0.04,0.06,0.83
223773880,0.04,0.03,0.85
223778784,0.04,0.05,0.86
223783728,0.03,0.05,0.86
223788648,0.04,0.04,0.87
223793560,-0.00,0.05,0.91
223798504,-0.01,0.04,0.92
223803480,-0.01,0.06,0.92
223808456,-0.02,0.05,0.94
223813432,-0.05,0.05,0.95
223818400,-0.03,0.05,0.94
223823368,-0.05,0.05,0.94
223828312,-0.05,0.04,0.94
223833248,-0.03,0.02,0.94
223838184,-0.07,0.05,0.95
223843152,-0.05,0.02,0.94
223848080,-0.05,0.04,0.95
223853024,-0.05,0.03,0.96
223857984,-0.06,0.03,0.98
223862952,-0.02,0.00,0.98
223867912,-0.07,0.03,0.98
223872864,-0.09,0.00,0.97
223877832,-0.07,0.01,1.01
223882816,-0.05,0.02,0.98
223887792,-0.07,0.02,1.00
223892728,-0.05,0.01,1.00
223897672,-0.03,0.03,1.02
223902616,-0.02,0.05,1.02
223907568,0.00,0.06,1.01
223912448,0.02,0.06,0.97
223917384,0.03,0.05,0.92
223922320,0.06,0.03,0.94
223927232,0.11,-0.13,1.15
223932232,-0.16,-0.34,1.41
223937264,0.13,-0.28,1.59
223942272,0.32,-0.27,1.56
223947280,-0.08,-0.31,1.44
223952296,-0.20,-0.23,1.37
223957336,-0.15,-0.10,1.31
223962384,-0.07,-0.05,1.28
223967384,0.06,-0.03,1.28
223972360,0.07,-0.05,1.26
223977328,0.00,-0.06,1.20
223982192,-0.04,-0.05,1.13
223987232,-0.05,-0.06,1.07
223992216,0.01,-0.03,1.00
223942272,223992216,1.62,0.32,-0.27,1.56,tap-2
224054040,-0.02,-0.04,0.98
224059024,0.01,-0.04,0.97
224063984,0.02,-0.03,0.98
224068960,0.03,-0.05,1.00
224073928,0.03,-0.05,0.98
224078856,0.02,-0.04,1.00
224083808,0.02,-0.04,1.01
224088776,0.02,-0.02,1.02
224093728,0.02,-0.04,1.03
224098672,0.00,-0.05,1.02
224103624,0.02,-0.03,1.02
224108592,0.02,-0.01,1.01
224113544,0.02,-0.03,1.00
224118488,0.03,0.00,1.01
224123432,0.05,-0.01,1.02
224128416,0.06,-0.02,1.00
224133352,0.05,-0.01,1.00
224138312,0.08,-0.01,0.98
224143264,0.10,0.00,0.99
224148184,0.11,-0.00,1.00
224153144,0.13,0.01,1.00
224158056,0.13,0.01,0.99
224162976,0.15,0.00,0.98
224167896,0.15,0.02,0.99
224172824,0.16,0.02,0.99
224177768,0.15,0.01,0.97
224182728,0.16,0.01,0.97
224187672,0.17,0.01,0.98
224192592,0.17,0.01,0.96
224197504,0.16,0.01,0.98
224202472,0.17,0.02,0.97
224207432,0.16,0.03,0.97
224212376,0.16,0.02,0.97
224217320,0.15,0.03,0.97
224222256,0.15,0.02,0.97
224227184,0.14,0.03,0.95
224232120,0.14,0.05,0.98
224237040,0.16,0.03,0.97
224241984,0.16,0.05,0.98
224246904,0.17,0.04,0.98
224251832,0.18,0.03,0.97
224256784,0.17,0.05,0.98
224261712,0.16,0.03,0.97
224266648,0.15,0.05,0.98
224271576,0.16,0.04,0.97
224276504,0.17,0.05,0.98
224281440,0.15,0.05,0.97
224286392,0.16,0.05,0.99
224291328,0.15,0.05,0.98
224296264,0.15,0.06,0.98
224301192,0.15,0.05,0.98
224306128,0.14,0.06,0.97
224311064,0.15,0.05,0.98
224316008,0.17,0.05,0.97
224320936,0.15,0.05,0.97
224325880,0.16,0.03,0.98
224330808,0.17,0.04,0.96
224335752,0.15,0.04,0.96
224340704,0.15,0.05,0.96
224345624,0.16,0.03,0.97
224350552,0.15,0.06,0.97
224355480,0.15,0.05,0.95
224360408,0.15,0.05,0.96
224365328,0.14,0.06,0.97
224370264,0.13,0.05,0.97
224375192,0.14,0.07,0.95
224380136,0.15,0.06,0.97
224385072,0.13,0.06,0.97
224389992,0.13,0.07,0.95
224394920,0.14,0.06,0.95
224399848,0.15,0.06,0.95
224404792,0.17,0.07,0.96
224409736,0.15,0.05,0.98
224414656,0.15,0.05,0.95
224419592,0.15,0.07,0.95
224424544,0.14,0.07,0.96
224429480,0.15,0.07,0.97
224434440,0.15,0.07,0.97
224439392,0.15,0.06,0.96
224444320,0.13,0.07,0.97
224449256,0.15,0.06,0.96
224454192,0.14,0.07,0.96
224459144,0.14,0.08,0.96
224464072,0.15,0.08,0.96
224469016,0.13,0.09,0.95
224473936,0.15,0.09,0.96
224478872,0.16,0.09,0.95
224483792,0.15,0.07,0.95
224488752,0.14,0.09,0.96
224493672,0.14,0.08,0.97
224498600,0.13,0.09,0.96
224503528,0.15,0.09,0.95
224508488,0.13,0.10,0.95
224513432,0.13,0.09,0.95
224518384,0.15,0.10,0.95
224523328,0.15,0.11,0.95
224528264,0.14,0.09,0.96
224533184,0.15,0.10,0.96
224538144,0.15,0.09,0.95
224543064,0.14,0.10,0.95
224547992,0.14,0.10,0.96
224552920,0.15,0.10,0.97
224557848,0.14,0.10,0.95
224562792,0.13,0.09,0.97
224567736,0.13,0.10,0.95
224572664,0.13,0.10,0.95
224577600,0.14,0.11,0.97
224582536,0.15,0.09,0.98
224587472,0.16,0.09,0.97
224592440,0.14,0.09,0.96
224597376,0.13,0.10,0.98
224602320,0.14,0.10,0.97
224607256,0.14,0.10,0.97
224612184,0.16,0.10,0.96
224617128,0.14,0.10,0.95
224622056,0.14,0.09,0.94
224626984,0.16,0.09,0.96
224631912,0.15,0.10,0.95
224636848,0.17,0.10,0.96
224641784,0.16,0.10,0.95
224646728,0.18,0.10,0.96
224651648,0.17,0.10,0.97
224656584,0.16,0.10,0.96
224661504,0.15,0.09,0.96
224666456,0.14,0.10,0.95
224671400,0.17,0.09,0.97
224676328,0.17,0.09,0.97
224681248,0.16,0.09,0.96
224686176,0.16,0.08,0.97
224691128,0.17,0.08,0.95
224696056,0.16,0.10,0.95
224701000,0.16,0.07,0.95
224705928,0.15,0.08,0.95
224710872,0.16,0.09,0.97
224715800,0.16,0.10,0.95
224720744,0.16,0.08,0.95
224725688,0.15,0.08,0.95
224730616,0.16,0.08,0.97
224735552,0.17,0.08,0.96
224740472,0.18,0.09,0.96
224745416,0.17,0.08,0.95
224750344,0.18,0.08,0.95
224755272,0.16,0.08,0.95
224760200,0.16,0.08,0.96
224765144,0.18,0.08,0.96
224770072,0.16,0.10,0.97
224775016,0.16,0.09,0.95
224779936,0.15,0.08,0.97
224784872,0.13,0.08,0.98
224789792,0.13,0.08,0.97
224794744,0.13,0.08,0.98
224799688,0.12,0.07,0.97
224804616,0.10,0.08,0.97
224809544,0.10,0.08,0.97
224814456,0.11,0.10,0.97
224819416,0.10,0.08,0.97
224824344,0.10,0.08,0.97
224829264,0.10,0.09,0.97
224834184,0.11,0.10,0.97
224839128,0.13,0.09,0.97
224844072,0.11,0.08,0.97
224849008,0.12,0.09,0.95
224853936,0.13,0.10,0.96
224858872,0.11,0.10,0.97
224863808,0.11,0.10,0.98
224868736,0.12,0.10,0.98
224873688,0.12,0.09,0.97
224878608,0.12,0.09,0.95
224883536,0.12,0.08,0.97
224888472,0.13,0.08,0.97
224893416,0.11,0.08,0.97
224898360,0.11,0.07,0.97
224903288,0.13,0.08,0.97
224908216,0.11,0.08,0.96
224913152,0.11,0.05,0.97
224918104,0.12,0.07,0.95
224923032,0.13,0.07,0.95
224927976,0.12,0.09,0.97
224932904,0.11,0.07,0.96
224937832,0.11,0.06,0.96
224942784,0.11,0.08,0.97
224947728,0.11,0.07,0.97
224952680,0.11,0.07,0.97
224957608,0.11,0.07,0.98
224962520,0.12,0.05,0.97
224967464,0.13,0.05,0.97
224972400,0.14,0.06,0.97
224977336,0.14,0.06,0.97
224982264,0.14,0.05,0.97
224987192,0.14,0.05,0.96
224992136,0.15,0.05,0.95
224997056,0.15,0.05,0.96
225002024,0.14,0.06,0.96
225006952,0.15,0.06,0.97
225011904,0.14,0.05,0.97
225016824,0.14,0.05,0.96
225021776,0.13,0.05,0.95
225026712,0.15,0.04,0.98
225031640,0.13,0.05,0.98
225036576,0.13,0.04,0.97
225041520,0.15,0.04,0.96
225046456,0.16,0.03,0.96
225051400,0.15,0.02,0.96
225056328,0.16,0.03,0.97
225061264,0.15,0.04,0.95
225066184,0.14,0.03,0.95
225071128,0.15,0.03,0.96
225076064,0.18,0.01,0.96
225081032,0.15,0.03,0.97
225085976,0.17,0.03,0.94
225090904,0.16,0.03,0.95
225095832,0.17,0.02,0.95
225100776,0.14,0.02,0.95
225105720,0.13,0.02,0.95
225110656,0.14,0.03,0.97
225115576,0.13,0.02,0.96
225120528,0.13,0.04,0.95
225125464,0.15,0.03,0.95
225130408,0.13,0.03,0.96
225135352,0.15,0.01,0.95
225140296,0.16,0.01,0.94
225145248,0.17,0.02,0.95
225150168,0.15,0.01,0.94
225155136,0.17,0.01,0.94
225160088,0.15,0.03,0.93
225165016,0.14,0.03,0.94
225169960,0.16,0.02,0.96
225174888,0.15,0.03,0.97
225179840,0.17,0.02,0.96
225184784,0.17,0.01,0.98
225189712,0.16,0.03,0.98
225194648,0.16,0.01,0.98
225199568,0.16,0.00,0.99
225204504,0.16,0.01,1.00
225209432,0.16,-0.01,1.01
225214432,0.16,-0.01,1.01
225219424,0.15,-0.00,0.98
225224392,0.15,-0.01,0.99
225229400,0.15,-0.01,0.97
225234392,0.15,0.00,0.97
225239344,0.15,-0.00,0.97
225244320,0.15,0.01,0.97
225249264,0.17,-0.00,0.97
225254240,0.15,-0.02,0.98
225259208,0.16,-0.02,1.00
225264200,0.16,-0.02,1.00
225269160,0.16,-0.02,1.02
225274168,0.16,-0.02,1.01
225279152,0.16,-0.01,1.00
225284144,0.17,-0.01,1.02
225289144,0.18,-0.00,1.02
225294120,0.17,-0.01,1.00
225299096,0.17,-0.01,0.99
225304064,0.16,-0.01,0.98
225309040,0.15,-0.01,0.98
225314016,0.13,0.00,1.01
225318960,0.10,-0.01,1.02
225323920,0.11,0.01,0.99
225328856,0.11,0.02,1.00
225333784,0.14,0.01,0.97
225338744,0.12,0.02,0.95
225343704,0.14,0.01,0.97
225348632,0.15,0.03,0.95
225353560,0.17,0.03,0.96
225358488,0.16,0.02,0.95
225363432,0.16,0.03,0.95
225368376,0.16,0.03,0.95
225373296,0.16,0.03,0.94
225378232,0.18,0.04,0.96
225383168,0.17,0.04,0.95
225388104,0.16,0.04,0.94
225393032,0.16,0.03,0.94
225397960,0.16,0.02,0.94
225402872,0.14,0.02,0.93
225407816,0.13,0.03,0.92
225412768,0.13,0.05,0.93
225417744,0.15,0.04,0.90
225422672,0.16,0.05,0.91
225427592,0.13,0.02,0.94
225432528,0.13,0.03,0.92
225437472,0.12,0.03,0.92
225442424,0.11,0.03,0.93
225447368,0.10,0.05,0.92
225452304,0.11,0.05,0.91
225457216,0.09,0.03,0.93
225462128,0.05,0.04,0.94
225467080,0.06,0.04,0.92
225472008,0.06,0.03,0.93
225476936,0.07,0.04,0.93
225481856,0.06,0.04,0.92
225486776,0.05,0.05,0.92
225491704,0.03,0.04,0.89
225496624,0.04,0.03,0.89
225501552,0.04,0.03,0.88
225506448,0.09,0.05,0.88
225511360,0.08,0.06,0.90
225516256,0.09,0.06,0.88
225521152,0.11,0.06,0.87
225526088,0.12,0.06,0.87
225531008,0.10,0.06,0.89
225535928,0.13,0.06,0.92
225540864,0.09,0.08,0.93
225545760,0.11,0.06,0.94
225550712,0.17,0.07,0.94
225555640,0.18,0.06,1.00
225560552,0.18,0.03,1.01
225565488,0.08,0.04,1.02
225570424,0.22,0.05,1.01
225575368,0.16,0.05,0.98
225580288,0.15,-0.03,0.91
225585264,-0.08,-0.43,1.56
225590256,0.08,-0.27,1.49
225595240,0.88,-0.32,1.83
225600232,0.36,-0.32,1.56
225605216,-0.18,-0.41,1.38
225610240,-0.02,-0.17,1.30
225615264,0.18,-0.04,1.26
225620248,0.28,-0.01,1.25
225625240,0.34,-0.01,1.24
225630232,0.34,-0.01,1.16
225635224,0.25,-0.01,1.09
225640208,0.20,-0.05,1.06
225645168,0.19,0.02,1.08
225650104,0.14,-0.14,0.93
225595240,225650104,2.05,0.88,-0.32,1.83,tap-1
225711928,0.28,0.03,0.97
225716864,0.35,-0.02,0.95
225721824,0.35,0.00,0.93
225726776,0.31,-0.01,0.91
225731768,0.31,0.00,0.87
225736704,0.31,0.01,0.84
225741656,0.30,0.01,0.82
225746568,0.29,0.02,0.80
225751480,0.25,0.03,0.80
225756416,0.26,0.05,0.78
225761352,0.26,0.06,0.78
225766288,0.25,0.08,0.78
225771208,0.25,0.08,0.78
225776160,0.26,0.09,0.78
225781088,0.25,0.10,0.80
225786032,0.28,0.10,0.82
225790960,0.26,0.08,0.82
225795888,0.25,0.08,0.86
225800816,0.26,0.08,0.86
225805752,0.28,0.07,0.87
225810712,0.24,0.06,0.86
225815648,0.24,0.05,0.88
225820576,0.22,0.06,0.88
225825504,0.16,0.03,0.89
225830440,0.13,0.04,0.91
225835384,0.11,0.04,0.92
225840312,0.10,0.02,0.92
225845208,-0.02,0.03,0.91
225850152,0.04,0.05,0.91
225855080,-0.09,0.04,0.94
225860024,-0.08,0.01,0.91
225865000,-0.10,0.03,0.92
225869952,-0.14,0.01,0.92
225874920,-0.14,0.04,0.92
225879880,-0.14,0.02,0.94
225884864,-0.15,0.05,0.94
225889832,-0.16,0.05,0.95
225894784,-0.06,-0.01,0.95
225899808,-0.14,0.06,0.95
225904792,-0.11,0.03,0.96
225909784,-0.10,0.03,0.97
225914752,-0.08,0.02,0.99
225919696,-0.10,0.03,0.97
225924688,-0.09,0.02,0.98
225929648,-0.08,0.02,0.98
225934576,-0.07,0.02,0.96
225939536,-0.04,0.01,1.00
225944504,-0.06,0.01,0.99
225949472,-0.05,0.02,0.98
225954440,-0.06,0.03,0.99
225959408,-0.02,0.03,0.96
225964384,0.01,0.02,0.96
225969328,0.03,0.02,0.96
225974248,0.01,0.01,0.95
225979184,0.00,0.01,0.95
225984120,0.05,-0.01,0.89
225989104,0.05,-0.06,0.93
225994072,-0.17,-0.43,1.46
225999104,0.19,-0.27,1.63
226004120,0.48,-0.35,1.72
226009144,-0.02,-0.32,1.47
226014184,-0.28,-0.32,1.37
226019216,-0.14,-0.09,1.28
226024240,0.05,-0.05,1.27
226029200,0.13,-0.06,1.26
226034192,0.11,-0.06,1.24
226039184,0.02,-0.07,1.19
226044152,-0.05,-0.08,1.13
226049168,-0.05,-0.08,1.06
226054184,0.01,-0.05,0.98
226004120,226054184,1.82,0.48,-0.35,1.72,tap-2
226115992,-0.01,-0.04,0.99
226120976,0.01,-0.05,1.01
226125904,0.02,-0.05,1.00
226130856,0.00,-0.05,1.00
226135784,0.00,-0.05,1.01
226140688,-0.01,-0.05,1.00
226145656,-0.00,-0.04,1.02
226150648,0.01,-0.02,1.00
226155584,0.03,-0.03,1.01
226160552,0.02,-0.03,1.00
226165496,0.03,-0.01,1.00
226170464,0.02,-0.00,0.98
226175432,0.02,-0.01,1.00
226180400,0.03,-0.00,0.99
226185344,0.05,0.01,0.98
226190256,0.05,-0.00,0.98
226195176,0.07,0.02,0.97
226200120,0.07,-0.00,0.97
226205080,0.08,0.02,0.97
226210008,0.08,0.01,0.97
226214920,0.09,-0.00,0.96
226219864,0.08,0.00,0.96
226224776,0.10,0.00,0.95
226229712,0.11,-0.01,0.94
226234704,0.13,-0.00,0.96
226239664,0.13,0.01,0.95
226244568,0.15,0.01,0.94
226249488,0.15,0.01,0.95
226254440,0.16,0.01,0.96
226259376,0.16,0.01,0.96
226264344,0.16,0.03,0.95
226269272,0.17,0.03,0.96
226274200,0.15,0.03,0.97
226279128,0.14,0.05,0.96
226284080,0.15,0.05,0.95
226289016,0.15,0.06,0.95
226293960,0.15,0.04,0.95
226298888,0.15,0.04,0.96
226303816,0.16,0.05,0.95
226308760,0.15,0.04,0.96
226313704,0.16,0.05,0.95
226318648,0.18,0.05,0.95
226323576,0.15,0.06,0.95
226328504,0.15,0.06,0.95
226333432,0.15,0.05,0.95
226338376,0.16,0.06,0.94
226343320,0.16,0.08,0.94
226348256,0.16,0.08,0.94
226353176,0.16,0.06,0.94
226358104,0.15,0.07,0.95
226363032,0.15,0.08,0.94
226367992,0.15,0.07,0.95
226372920,0.16,0.08,0.94
226377848,0.15,0.09,0.95
226382768,0.16,0.08,0.94
226387720,0.16,0.07,0.95
226392680,0.16,0.08,0.94
226397608,0.16,0.08,0.94
226402552,0.17,0.08,0.94
226407480,0.16,0.07,0.95
226412416,0.16,0.08,0.96
226417368,0.15,0.08,0.95
226422296,0.16,0.07,0.96
226427224,0.17,0.09,0.95
226432144,0.16,0.07,0.94
226437096,0.16,0.08,0.95
226442024,0.16,0.08,0.95
226446968,0.15,0.08,0.95
226451896,0.15,0.08,0.93
226456824,0.15,0.08,0.97
226461752,0.15,0.07,0.95
226466696,0.16,0.09,0.96
226471640,0.16,0.08,0.95
226476584,0.17,0.07,0.96
226481520,0.16,0.08,0.95
226486440,0.16,0.08,0.94
226491384,0.15,0.08,0.95
226496328,0.17,0.07,0.94
226501256,0.17,0.09,0.94
226506184,0.17,0.09,0.94
226511128,0.16,0.08,0.95
226516064,0.16,0.08,0.97
226521000,0.17,0.10,0.94
226525928,0.17,0.09,0.96
226530856,0.16,0.09,0.97
226535784,0.16,0.08,0.96
226540736,0.16,0.06,0.95
226545656,0.16,0.08,0.94
226550600,0.16,0.07,0.97
226555528,0.17,0.06,0.97
226560464,0.16,0.08,0.97
226565400,0.16,0.08,0.96
226570344,0.17,0.08,0.96
226575264,0.13,0.08,0.95
226580200,0.15,0.08,0.97
226585144,0.15,0.06,0.96
226590088,0.15,0.08,0.97
226595048,0.14,0.08,0.95
226599968,0.14,0.08,0.95
226604904,0.13,0.09,0.95
226609824,0.15,0.09,0.95
226614760,0.15,0.09,0.94
226619704,0.16,0.08,0.94
226624648,0.16,0.10,0.94
226629576,0.14,0.09,0.95
226634496,0.15,0.09,0.96
226639432,0.15,0.09,0.94
